__pk;__name;__address;__lat;__lon;__mod;F2;;F3;F6;;H6;;H7;F8;;;;H8;;;;F12;F13;H17;I18;J18;K18;L18;M18;N18;O18;P18;Q18;R18;S18;T18;U18;V18;W18;I21;J21;K21;L21;M21;N21;O21;P21;Q21;R21;S21;T21;U21;V21;W21;F23;H23;F25;H25;H26;H27;H28;F29;H30;H31;F33;H33;J34;K34;L34;M34;N34;O34;P34;Q34;R34;S34;T34;U34;V34;W34;I37;J37;K37;L37;M37;N37;O37;P37;Q37;R37;S37;T37;U37;V37;W37;I41;I51;I53;I55;J55;K55;L55;M55;N55;O55;P55;Q55;R55;S55;T55;U55;V55;W55;I58;F62;F63;F64;F73;F74;F75;F105;J117;K117;L117;M117;N117;O117;P117;Q117;R117;S117;T117;U117;V117;W117;J118;K118;L118;M118;N118;O118;P118;Q118;R118;S118;T118;U118;V118;W118;I119;J119;K119;L119;M119;N119;O119;P119;Q119;R119;S119;T119;U119;V119;W119;I120;J120;K120;L120;M120;N120;O120;P120;Q120;R120;S120;T120;U120;V120;W120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,00;Задонский полигон;52,369700  38,889872;52,369700;38,889872;;2015,00;2005,00;2050,00;;96,06;120,59;37,27;61,80;;;;6,00;6,00;18,21;18,32;;;;;;;;;;;;;;;;;;;;951,00;988,05;1029,45;1708,15;1776,47;1847,53;1921,43;1998,29;2078,22;2161,35;2247,80;2337,71;2431,22;2528,47;2629,61;;;;;;;;;;;0,05;0,05;;;;;;;;;;;;;;;5706,00;5928,30;6176,70;10248,87;10658,82;11085,18;11528,58;11989,73;12469,32;12968,09;13486,81;14026,29;14587,34;15170,83;15777,66;;0,35;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1,00;;;;30,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;2730,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;заказчик;расчет по данным заказчика на основе комплекса Экопром-Липецк;Сергей Ефимов (вводил Денис Кохан);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,00;Лебедянский полигон;52,997467 39,092990;52,997467;39,092990;;2015,00;2006,00;2050,00;;313,18;342,71;179,88;109,41;;;;10,44;10,44;25,13;25,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4813,44;;150,70;;;517,61;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,25;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;9100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;заказчик;расчет по данным заказчика на основе комплекса Экопром-Липецк;Сергей Ефимов (вводил Денис Кохан);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,00;Липецкий полигон;52,418439 39,267564;52,418439;39,267564;;2015,00;2013,00;2050,00;;156,25;338,89;101,88;284,51;;;;31,25;31,25;10,04;10,10;;;;;;;;;;;;;;;;;;;;831,85;864,25;901,95;1672,58;1739,48;1809,06;1881,43;1956,68;2034,95;2116,35;2201,00;2289,04;2380,60;2475,83;2574,86;;;;;;;;;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;заказчик;расчет по данным заказчика на основе комплекса Экопром-Липецк;Сергей Ефимов (вводил Денис Кохан);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,00;Усманский полигон;52,044840 39,779665;52,044840;39,779665;;2015,00;2004,00;2050,00;;200,00;234,73;100,00;134,73;;;;7,50;7,50;24,79;24,94;;;;;;;;;;;;;;;;;;;;334,45;347,50;362,05;575,02;598,02;621,94;646,81;672,69;699,59;727,58;756,68;786,95;818,43;851,16;885,21;;;;;;;;;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;заказчик;расчет по данным заказчика на основе комплекса Экопром-Липецк;Сергей Ефимов (вводил Денис Кохан);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11,00;Чаплыгинский полигон;53,301357 39,781020;53,301357;39,781020;;2015,00;2006,00;2050,00;;132,17;147,64;13,22;58,69;;;;8,81;8,81;16,50;16,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4062,78;;127,20;;;436,89;;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;заказчик;расчет по данным заказчика на основе комплекса Экопром-Липецк;Сергей Ефимов (вводил Денис Кохан);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12,00;Долгоруковский полигон;52,372036 38,244726;52,372036;38,244726;;2018,00;?;2050,00;212,00;;;;;21,81;21,81;21,81;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2216,00;;235,02;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;212,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;19292,00;;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13,00;Измалковский полигон;52,660477 37,983100;52,660477;37,983100;;2018,00;?;2050,00;27,88;;;;;2,43;28,00;28,00;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247,36;;26,23;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14,00;Краснинский полигон;52,890891 38,803696;52,890891;38,803696;;2018,00;?;2050,00;22,88;;;;;1,63;7,00;7,00;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165,08;;17,51;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,35;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;22,00;;;;18,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;1638,00;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15,00;Становлянский полигон;52,777801 38,335660;52,777801;38,335660;;2018,00;?;2050,00;58,33;;;;;6,53;29,00;29,00;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;663,12;;70,33;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16,00;Тербунский полигон;52,134041, 38,274645;52,134041;38,274645;;2018,00;?;2050,00;91,50;;;;;10,00;10,00;10,00;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1015,88;;107,74;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,22;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;91,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;8326,50;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17,00;Хлевенский полигон;52,177198 39,122812;52,177198;39,122812;;2018,00;?;2050,00;40,00;;;;;4,25;19,00;19,00;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;431,75;;45,79;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,25;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;40,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;3640,00;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18,00;Персп.полигон в Липецком районе;52,662024 39,122736;52,662024;39,122736;;2022,00;2022,00;2050,00;4050,00;;;;;270,00;270,00;270,00;;;;;5062500,00;337500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27428,83;;2908,99;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Полигон д. Хмелевка;52,888767 39,239034;52,888767;39,239034;;2022,00;2022,00;2050,00;1275,00;;;;;76,00;85,00;76,00;;;;;1593750,00;95000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8635,00;;915,79;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,00;"Персп.полигон в Становлянском районе
";52,732704 38,290447;52,732704;38,290447;;2022,00;2022,00;2050,00;1650,00;;;;;100,00;110,00;100,00;;;;;2062500,00;125000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11174,71;;1185,14;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21,00;Грязинский полигон;52,461024 39,922641;52,461024;39,922641;;2020,00;2020,00;2050,00;1200,00;;;;;80,00;80,00;80,00;;;;;1500000,00;100000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8127,06;;861,92;;;;;21,32;;;0,05;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;20,00;0,00;0,00;663,20;689,73;717,32;746,01;775,85;806,88;839,16;872,73;907,63;943,94;981,70;1020,97;1061,80;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;взяты за основу данные заказчика по комплексу Экопром Липецк, капексы полигонов взяты по проекту-аналогу из Казани;расчет по данным заказчика на основе комплекса Экопром-Липецк и по проекту аналогу;Сергей Моисеев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;тариф до перевода из руб на куб в тариф за руб на т;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Мощность комплекса;;;;;;;200;тыс. т;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Фиксированный трариф на полигоне Задонский без учета модернизации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Индексацией ПНВОС на 2018 год;;;;;;;663,2;руб/т;(в ценах 2018г);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;951,00;988,05;1029,45;1708,15;1776,47;1847,53;1921,43;1998,29;2078,22;2161,35;2247,80;2337,71;2431,22;2528,47;2629,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;% ВМР = 10%;;;;;;;0,1;долей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Плата за ПНВОС во втором полугодье 2018г составляет для ЭкоПром-Липецк;;;;;;;59688;тыс. руб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157,33;163,47;170,57;307,05;319,33;332,10;345,39;359,20;373,57;388,51;404,06;420,22;437,03;454,51;472,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Плотность отходов;;0,20;т на куб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190,20;197,61;205,89;341,63;355,29;369,51;384,29;399,66;415,64;432,27;449,56;467,54;486,24;505,69;525,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Расширение сортировки ЭкоПром-Липецк;;;;;;;;;;Мощность расширения, тыс. т;;;;;;;;;;;;;;;;;;;;;;;;;166,37;172,85;180,39;334,52;347,90;361,81;376,29;391,34;406,99;423,27;440,20;457,81;476,12;495,17;514,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Инвестиционная программа (капитальные затраты на расширение в 2021 году);;;;;2018,00;2019,00;2020,00;;;150,00;;;;;;;;;;;;;;;;;;;;;;;;;66,89;69,50;72,41;115,00;119,60;124,39;129,36;134,54;139,92;145,52;151,34;157,39;163,69;170,23;177,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;"Источник: файл ""Приложения №1,2,3 к ИнвестПрогр-2.xlsx"" лист ""приложение 1"" - ОБЪЕМ ФИНАНСИРОВАНИЯ МЕРОПРИЯТИЙ ИНВЕСТИЦИОННОЙ ПРОГРАММЫ - ВСЕГО
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
